#protein	region
1a2o_A	36-109;241-326
1a3w_A	378-443
1b0p_A	57-142
1e8c_A	178-255;352-429
1efk_A	376-445
1fw6_A	621-712
1w25_A	34-104
1w78_A	306-377
1wls_A	202-282
1wxw_A	221-285
1xcj_A	43-113
2aw5_A	363-432
2c4k_A	69-151
2fqw_A	146-228
2fr0_A	1511-1613
2hwg_A	146-203
2ioy_A	166-235
2jgd_A	384-479
2ji4_A	71-163
2o8b_B	1172-1269
2vz8_A	1224-1298;1948-2061
2x4g_A	58-180
3c2q_A	329-394
3c3k_A	159-227
3ctp_A	225-283
3g79_A	90-167
3hsi_A	26-127;242-353
3huu_A	182-252
3i0z_A	99-165
3i52_A	71-158
3ip5_A	44-174
3iuu_A	72-156
3kke_A	215-295
3ldh_A	2-81
3lkv_A	38-117
3n2a_A	310-388
3nxk_A	220-295
3odp_A	271-335
3prj_A	74-158
3qg5_C	28-115
3slk_A	39-139
3t05_A	354-420;489-547
3v97_A	523-614
3zl8_A	312-382
4ezb_A	27-124
4imp_A	345-451
