protein	classRDB	TRs	anno	len	domain
3v6o_C	none	3	none	219	[PDP:4NZULa, PDP:4NZULb]
3qdn_A	none	3	none	285	[PDP:3QOUAa, PDP:3QOUAb, PDP:3QOUAc]
2oo6_A	IV.1	3	none	393	[PDP:3GO2Aa, PDP:3GO2Ab, PDP:3GO2Ac]
2v5r_A	none	3	none	391	[PDP:2V5MAa, PDP:2V5MAb, PDP:2V5MAc, PDP:2V5MAd]
2wqh_A	none	3	none	104	[d1na0a_]
3nmr_A	none	3	none	175	[PDP:3NMRAa, PDP:3NMRAb]
4dye_A	IV.1	3	none	376	[PDP:3VC5Aa]
1jye_A	none	3	none	271	[d1jyea_]
3f7t_A	none	4	none	310	[PDP:4H4DAa, PDP:4H4DAb]
4l7b_A	IV.4	5	none	291	[d1zgka1]
1yrz_A	none	3	none	522	[PDP:3C2UAa, PDP:3C2UAb]
3nqx_A	none	3	none	299	[PDP:4K89Aa, PDP:4K89Ab]
2kfb_A	none	3	none	174	[d1h4ax1, d1h4ax2]
3m73_A	none	3	none	313	[PDP:3M73Aa]
1cb2_A	none	3	none	363	[d1oc7a_]
4a2s_A	IV.1	3	none	247	[PDP:4A29Aa]
2pe5_A	none	3	none	328	[d1jyea_]
2w72_A	none	3	none	141	[PDP:2W72Aa]
3p6l_A	IV.1	3	none	262	[PDP:3P6LAa]
1nu5_A	IV.1	3	none	369	[PDP:3DGBAa]
1cpw_A	none	3	none	154	[PDP:3QM9Aa]
3azr_A	none	3	none	311	[PDP:3AOFAa, PDP:3AOFAb]
1prn_A	none	4	none	289	[d3prna_]
4my1_A	none	3	none	349	[PDP:2C6QAa]
1smp_A	III.1	3	none	468	[PDP:4I35Aa, PDP:4I35Ab, PDP:4I35Ac, PDP:4I35Ad]
3dfn_A	none	4	none	350	[d2qapa1]
2lv6_A	none	4	none	148	[d1exra_]
1us2_A	none	3	none	507	[d1us3a1, d1us3a2]
1hvf_A	none	4	none	313	[PDP:2ZHJAa, PDP:2ZHJAb]
4dnt_A	none	3	none	1031	[PDP:3NE5Aa, PDP:3NE5Ab, PDP:3NE5Ac, PDP:3NE5Ad, PDP:3NE5Ae, PDP:3NE5Af, PDP:3NE5Ag]
3ll1_A	none	3	none	122	[d2guda1]
2b8e_A	none	3	none	246	[PDP:3SKXAa, PDP:3SKXAb]
3rb7_A	none	3	none	248	[PDP:3RB5Aa, PDP:3RB5Ab]
3kld_A	none	3	C2C;	376	[d1cs6a1, d1cs6a2, d1cs6a3, d1cs6a4]
1tv7_A	none	3	none	327	[PDP:2FB2Aa]
3a1e_A	none	3	none	268	[PDP:3SKXAa, PDP:3SKXAb]
1a7d_A	none	3	none	118	[d2mhra_]
1ain_A	none	4	none	314	[PDP:2ZHJAa, PDP:2ZHJAb]
3ihy_A	none	3	none	536	[PDP:3LS8Aa, PDP:3LS8Ab, PDP:3LS8Ac, PDP:3LS8Ad]
1by3_A	IV.2	3	none	695	[PDP:4CU4Aa]
4kny_A	none	3	none	222	[PDP:4KFCAa, PDP:4KFCAb]
2qkn_A	none	3	none	496	[PDP:2Q4WAa, PDP:2Q4WAb, PDP:2Q4WAc, PDP:2Q4WAd]
1xd5_A	none	3	none	112	[PDP:2DPFAa]
1cp5_A	none	3	none	154	[PDP:3QM9Aa]
3kmv_A	IV.3	3	none	136	[PDP:3KMVAa]
3oes_A	none	3	none	157	[PDP:2CE2Xa]
3um3_A	none	3	none	377	[PDP:3R9MAa, PDP:3R9MAb]
3dhr_A	none	3	none	141	[PDP:2W72Aa]
1jk1_A	none	3	none	85	[d1a1ia1, d1a1ia2, d1a1ia3]
